Date,Crop,Unit,Price
2022-01-01,Muskmelon,₹/kg,22.86
2022-01-01,Maize,₹/quintal,1949.75
2022-01-01,Grapes,₹/kg,61.23
2022-01-01,Coffee,₹/kg,398.92
2022-01-01,Chickpea,₹/quintal,4702.01
2022-01-01,Mothbeans,₹/quintal,7182.98
2022-01-01,Grapes,₹/kg,45.65
2022-01-02,Muskmelon,₹/kg,29.28
2022-01-02,Papaya,₹/kg,49.09
2022-01-03,Maize,₹/quintal,2095.65
2022-01-03,Papaya,₹/kg,27.21
2022-01-03,Muskmelon,₹/kg,44.66
2022-01-03,Chickpea,₹/quintal,5482.03
2022-01-03,Maize,₹/quintal,2167.05
2022-01-03,Chickpea,₹/quintal,5320.34
2022-01-04,Orange,₹/kg,58.81
2022-01-04,Watermelon,₹/kg,20.36
2022-01-04,Grapes,₹/kg,59.96
2022-01-04,Mango,₹/kg,179.07
2022-01-05,Grapes,₹/kg,47.1
2022-01-05,Apple,₹/kg,88.43
2022-01-05,Coffee,₹/kg,398.12
2022-01-05,Blackgram,₹/quintal,7761.58
2022-01-05,Pomegranate,₹/kg,115.0
2022-01-05,Orange,₹/kg,42.71
2022-01-05,Orange,₹/kg,51.33
2022-01-05,Banana,₹/kg,38.17
2022-01-06,Banana,₹/kg,16.2
2022-01-06,Chickpea,₹/quintal,5200.94
2022-01-06,Pigeonpeas,₹/quintal,6094.52
2022-01-06,Mungbean,₹/quintal,7025.05
2022-01-06,Papaya,₹/kg,33.29
2022-01-06,Cotton,₹/quintal,7272.29
2022-01-06,Papaya,₹/kg,34.23
2022-01-07,Blackgram,₹/quintal,6454.77
2022-01-07,Coconut,₹/100 pieces,2800.42
2022-01-07,Banana,₹/kg,35.64
2022-01-07,Rice,₹/quintal,2165.97
2022-01-07,Orange,₹/kg,64.34
2022-01-07,Muskmelon,₹/kg,36.63
2022-01-08,Mothbeans,₹/quintal,7287.63
2022-01-08,Pigeonpeas,₹/quintal,6068.36
2022-01-08,Mungbean,₹/quintal,7940.96
2022-01-08,Chickpea,₹/quintal,5338.5
2022-01-09,Pigeonpeas,₹/quintal,6507.61
2022-01-09,Mungbean,₹/quintal,7606.82
2022-01-09,Coffee,₹/kg,317.37
2022-01-10,Banana,₹/kg,21.63
2022-01-10,Apple,₹/kg,162.41
2022-01-10,Maize,₹/quintal,2043.58
2022-01-10,Mothbeans,₹/quintal,6150.3
2022-01-10,Grapes,₹/kg,107.88
2022-01-10,Apple,₹/kg,100.74
2022-01-10,Maize,₹/quintal,2030.35
2022-01-10,Cotton,₹/quintal,6161.01
2022-01-11,Pomegranate,₹/kg,66.12
2022-01-11,Coffee,₹/kg,345.71
2022-01-11,Orange,₹/kg,42.41
2022-01-11,Kidneybeans,₹/quintal,9286.66
2022-01-12,Rice,₹/quintal,2538.75
2022-01-12,Banana,₹/kg,24.05
2022-01-12,Maize,₹/quintal,1933.4
2022-01-12,Pomegranate,₹/kg,61.57
2022-01-13,Cotton,₹/quintal,7910.13
2022-01-13,Chickpea,₹/quintal,5158.91
2022-01-13,Papaya,₹/kg,23.27
2022-01-13,Blackgram,₹/quintal,6264.86
2022-01-14,Chickpea,₹/quintal,4804.16
2022-01-14,Mungbean,₹/quintal,7957.44
2022-01-14,Cotton,₹/quintal,7484.68
2022-01-14,Lentil,₹/quintal,6902.65
2022-01-15,Chickpea,₹/quintal,5330.55
2022-01-15,Blackgram,₹/quintal,6646.66
2022-01-15,Rice,₹/quintal,2244.9
2022-01-15,Mango,₹/kg,57.11
2022-01-15,Blackgram,₹/quintal,7523.14
2022-01-16,Mango,₹/kg,112.48
2022-01-16,Maize,₹/quintal,2278.02
2022-01-17,Pigeonpeas,₹/quintal,6609.5
2022-01-17,Coconut,₹/100 pieces,2375.78
2022-01-17,Lentil,₹/quintal,6887.65
2022-01-17,Chickpea,₹/quintal,5043.24
2022-01-18,Coconut,₹/100 pieces,2176.0
2022-01-18,Orange,₹/kg,69.97
2022-01-19,Apple,₹/kg,91.88
2022-01-19,Papaya,₹/kg,34.78
2022-01-19,Orange,₹/kg,37.48
2022-01-19,Kidneybeans,₹/quintal,7496.28
2022-01-19,Orange,₹/kg,66.48
2022-01-20,Cotton,₹/quintal,8379.51
2022-01-20,Grapes,₹/kg,71.39
2022-01-20,Maize,₹/quintal,2115.73
2022-01-21,Papaya,₹/kg,30.7
2022-01-21,Apple,₹/kg,170.21
2022-01-21,Coffee,₹/kg,376.54
2022-01-21,Lentil,₹/quintal,6254.42
2022-01-21,Cotton,₹/quintal,6991.97
2022-01-21,Coconut,₹/100 pieces,1607.17
2022-01-21,Mango,₹/kg,175.39
2022-01-22,Mango,₹/kg,163.22
2022-01-22,Coffee,₹/kg,235.99
2022-01-22,Coffee,₹/kg,280.27
2022-01-22,Cotton,₹/quintal,7966.61
2022-01-22,Mungbean,₹/quintal,7233.86
2022-01-22,Kidneybeans,₹/quintal,9198.81
2022-01-23,Mungbean,₹/quintal,6936.25
2022-01-23,Mungbean,₹/quintal,6762.66
2022-01-24,Jute,₹/quintal,6412.16
2022-01-24,Mango,₹/kg,43.78
2022-01-24,Maize,₹/quintal,2374.84
2022-01-24,Orange,₹/kg,33.68
2022-01-24,Mango,₹/kg,147.02
